few_30,30shot_2stage,1shot_2stage,60shot_3stage,10shot_2stage,base,30shot_3stage,few_60,3shot_2stage,60shot_2stage,5shot_2stage
0.0,76.99,0.0,78.028,76.014,78.044,78.397,0.0,68.447,77.745,72.34
0.0,84.459,4.95,84.022,83.455,85.035,85.319,0.0,79.414,84.693,80.918
0.0,81.498,72.136,80.725,80.535,82.025,80.437,0.0,77.788,80.731,79.202
6.625,46.964,0.0,49.814,33.757,0.0,51.948,23.793,16.456,50.083,29.401
0.0,79.405,43.693,81.743,79.85,81.752,81.075,0.0,77.045,81.432,79.62
0.0,77.46,68.011,77.692,74.222,77.908,77.928,0.0,69.201,78.269,72.237
0.0,69.081,43.99,70.509,64.982,70.145,70.024,0.0,61.774,69.573,65.253
0.0,83.43,75.281,82.431,82.965,84.72,84.176,0.0,81.948,83.604,82.628
0.0,55.828,2.806,57.561,57.717,57.378,56.553,0.0,51.086,56.136,56.758
4.421,12.872,0.0,19.882,6.845,0.0,14.16,6.57,0.235,19.366,3.736
0.0,61.913,33.96,62.571,62.562,63.272,62.536,0.0,59.824,62.24,60.081
0.0,66.764,7.468,67.763,65.508,66.414,67.478,0.0,60.845,67.305,64.56
0.0,88.299,40.539,88.143,87.906,88.164,88.206,0.0,86.523,88.019,87.567
0.0,71.23,51.49,73.676,69.992,73.302,71.746,0.0,63.116,72.755,65.702
9.889,28.979,1.248,31.382,17.171,0.0,28.093,12.622,9.674,31.401,12.457
7.814,13.879,0.0,22.656,12.138,0.0,16.421,16.041,4.896,20.302,7.968
0.0,55.48,45.96,56.839,52.983,56.843,55.668,0.0,48.047,55.99,52.556
